offset,threshold,correct,max_matches,true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score,extra_info
30,0.9,10,174,2,172,10,194,0.46031746031746,0.166666666666667,0.0102040816326531,0.0192307692307692,"feature, flann, knn - sift - dilated_1px - 0.05"
30,0.9,20,174,2,172,10,194,0.46031746031746,0.166666666666667,0.0102040816326531,0.0192307692307692,"feature, flann, knn - sift - dilated_1px - 0.05"
30,0.75,10,178,2,176,5,195,0.470899470899471,0.285714285714286,0.0101522842639594,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
30,0.75,20,178,2,176,5,195,0.470899470899471,0.285714285714286,0.0101522842639594,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
40,0.9,10,174,2,172,11,193,0.46031746031746,0.153846153846154,0.0102564102564103,0.0192307692307692,"feature, flann, knn - sift - dilated_1px - 0.05"
40,0.9,20,174,2,172,11,193,0.46031746031746,0.153846153846154,0.0102564102564103,0.0192307692307692,"feature, flann, knn - sift - dilated_1px - 0.05"
40,0.75,10,178,2,176,7,193,0.470899470899471,0.222222222222222,0.0102564102564103,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
40,0.75,20,178,2,176,7,193,0.470899470899471,0.222222222222222,0.0102564102564103,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
60,0.9,10,174,2,172,14,190,0.46031746031746,0.125,0.0104166666666667,0.0192307692307692,"feature, flann, knn - sift - dilated_1px - 0.05"
60,0.9,20,174,2,172,14,190,0.46031746031746,0.125,0.0104166666666667,0.0192307692307692,"feature, flann, knn - sift - dilated_1px - 0.05"
60,0.75,10,178,2,176,9,191,0.470899470899471,0.181818181818182,0.0103626943005181,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
60,0.75,20,178,2,176,9,191,0.470899470899471,0.181818181818182,0.0103626943005181,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
80,0.9,10,174,2,172,15,189,0.46031746031746,0.117647058823529,0.0104712041884817,0.0192307692307692,"feature, flann, knn - sift - dilated_1px - 0.05"
80,0.9,20,174,2,172,15,189,0.46031746031746,0.117647058823529,0.0104712041884817,0.0192307692307692,"feature, flann, knn - sift - dilated_1px - 0.05"
80,0.75,10,178,2,176,10,190,0.470899470899471,0.166666666666667,0.0104166666666667,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
80,0.75,20,178,2,176,10,190,0.470899470899471,0.166666666666667,0.0104166666666667,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
100,0.9,10,169,2,167,21,188,0.447089947089947,0.0869565217391304,0.0105263157894737,0.0187793427230047,"feature, flann, knn - sift - dilated_1px - 0.05"
100,0.9,20,169,2,167,21,188,0.447089947089947,0.0869565217391304,0.0105263157894737,0.0187793427230047,"feature, flann, knn - sift - dilated_1px - 0.05"
100,0.75,10,178,2,176,11,189,0.470899470899471,0.153846153846154,0.0104712041884817,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
100,0.75,20,178,2,176,11,189,0.470899470899471,0.153846153846154,0.0104712041884817,0.0196078431372549,"feature, flann, knn - sift - dilated_1px - 0.05"
150,0.9,10,161,2,159,35,182,0.425925925925926,0.0540540540540541,0.0108695652173913,0.0180995475113122,"feature, flann, knn - sift - dilated_1px - 0.05"
150,0.9,20,161,2,159,35,182,0.425925925925926,0.0540540540540541,0.0108695652173913,0.0180995475113122,"feature, flann, knn - sift - dilated_1px - 0.05"
150,0.75,10,175,2,173,15,188,0.462962962962963,0.117647058823529,0.0105263157894737,0.0193236714975845,"feature, flann, knn - sift - dilated_1px - 0.05"
150,0.75,20,175,2,173,15,188,0.462962962962963,0.117647058823529,0.0105263157894737,0.0193236714975845,"feature, flann, knn - sift - dilated_1px - 0.05"
